"y"
39
38
38
38
41
47
45
43
45
47
47
48
47
48
49
51
54
55
55
58
59
60
63
60
60
58
62
57
61
67
68
68
69
70
66
68
64
68
70
70
74
75
70
75
75
74
74
76
69
71
73
73
76
77
80
81
86
92
88
88
86
91
92
89
87
93
90
94
95
95
96
91
87
92
89
92
93
95
91
91
89
95
91
91
93
92
94
94
89
89
92
95
93
92
89
89
89
85
86
87
89
83
80
86
86
95
100
95
93
87
89
90
86
82
83
82
85
77
70
70
67
67
66
63
62
65
62
64
69
61
61
59
56
55
56
54
52
53
54
55
54
53
49
47
43
41
41
40
40
41
41
43
42
38
37
37
37
35
36
36
36
39
37
40
39
36
37
36
36
37
35
33
31
31
31
32
33
31
28
29
27
27
27
27
28
28
27
30
30
29
27
28
28
28
32
32
31
31
32
29
29
31
28
30
29
31
30
30
29
29
27
31
29
28
28
30
26
26
26
25
25
26
23
26
25
25
23
